Account,Category,Amount,Company
Water Mitigation,Income,8000,Pine Ridge Restoration
Fire/Smoke Restoration,Income,3500,Pine Ridge Restoration
Mold Remediation,Income,2200,Pine Ridge Restoration
Contents / Packout,Income,1500,Pine Ridge Restoration
Reconstruction,Income,1500,Pine Ridge Restoration
Direct Labor (Field),Cost of Goods Sold,5800,Pine Ridge Restoration
Payroll Burden (Field),Cost of Goods Sold,850,Pine Ridge Restoration
Subcontractors,Cost of Goods Sold,900,Pine Ridge Restoration
Materials & Supplies,Cost of Goods Sold,1450,Pine Ridge Restoration
Dumpster / Disposal,Cost of Goods Sold,250,Pine Ridge Restoration
Equipment Rental,Cost of Goods Sold,200,Pine Ridge Restoration
Job Travel / Fuel,Cost of Goods Sold,300,Pine Ridge Restoration
Owner Salary (Admin/GM),Expenses,1500,Pine Ridge Restoration
Office/Admin Wages,Expenses,600,Pine Ridge Restoration
Payroll Taxes (G&A),Expenses,180,Pine Ridge Restoration
Rent,Expenses,900,Pine Ridge Restoration
Utilities,Expenses,160,Pine Ridge Restoration
Insurance - General Liability,Expenses,320,Pine Ridge Restoration
Insurance - Workers Comp,Expenses,280,Pine Ridge Restoration
Auto Insurance,Expenses,140,Pine Ridge Restoration
Vehicle Expense (Non-job) - Fuel & Maint,Expenses,240,Pine Ridge Restoration
Advertising & Marketing,Expenses,350,Pine Ridge Restoration
Software Subscriptions,Expenses,180,Pine Ridge Restoration
Phone & Internet,Expenses,120,Pine Ridge Restoration
Office Supplies,Expenses,80,Pine Ridge Restoration
Professional Fees,Expenses,150,Pine Ridge Restoration
Bank & Merchant Fees,Expenses,90,Pine Ridge Restoration
Training & Certifications,Expenses,60,Pine Ridge Restoration
Miscellaneous,Expenses,100,Pine Ridge Restoration
Water Mitigation,Income,38000,MetroRapid Restoration
Fire/Smoke Restoration,Income,15000,MetroRapid Restoration
Mold Remediation,Income,10000,MetroRapid Restoration
Contents / Packout,Income,7000,MetroRapid Restoration
Reconstruction,Income,13333,MetroRapid Restoration
Direct Labor (Field),Cost of Goods Sold,30000,MetroRapid Restoration
Payroll Burden (Field),Cost of Goods Sold,4500,MetroRapid Restoration
Subcontractors,Cost of Goods Sold,6500,MetroRapid Restoration
Materials & Supplies,Cost of Goods Sold,8000,MetroRapid Restoration
Equipment Rental,Cost of Goods Sold,1500,MetroRapid Restoration
Dumpster / Disposal,Cost of Goods Sold,900,MetroRapid Restoration
Job Travel / Fuel,Cost of Goods Sold,1300,MetroRapid Restoration
Storage (Contents),Cost of Goods Sold,700,MetroRapid Restoration
Management / Admin Payroll,Expenses,9000,MetroRapid Restoration
Payroll Taxes & Benefits (G&A),Expenses,2000,MetroRapid Restoration
Rent,Expenses,2500,MetroRapid Restoration
